id;name;used
1861816;Bus 52B: Feuerwache Am Steinhof => Hütteldorf;
1861817;Bus 52B: Hütteldorf => Feuerwache Am Steinhof;
1863773;Bus 408: Axams Hoadlstraße => Kematen i. T. Neue Heimat;
1863895;Bus 404N: Innsbruck Hauptbahnhof K => Grinzens Wendestelle;
1864043;Bus 461: Innsbruck Hauptbahnhof L => Oberperfussberg Wendestelle;
1889151;Hartberg Citybus;
1903326;Bus 47B: Hüttelberg => Hütteldorf;
1903327;Bus 47B: Hütteldorf => Hüttelberg;
1920277;Bus 350: Innsbruck Hauptbahnhof M => Nassereith Abzw Brunnwald;
1935862;Stadtbus Wels 14: Hauptbahnhof - Unterhart;
1943179;Stadtbus Wels 14: Unterhart - Hauptbahnhof;
1947051;Bus 1B: Hall in Tirol Stadtgraben => Hall in Tirol Innweg;
1953690;Bus 21: Fürstenbrunn => Bergheim;
1953886;Stadtbus Wels 13: Hauptbahnhof - ROLA-Terminal - Hauptbahnhof;
1954696;Stadtbus Wels 13: Hauptbahnhof - Böhmerwaldstraße - Hauptbahnhof;
